"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "Prisma", "Docker", "Ignore", "CSS", "TypeScript JSX", "MS SQL", "Markdown", "Terraform", "YAML", "comment", "blank", "total"
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/contacts/domain/contacts.repository.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/contacts/domain/contacts.service.spec.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/contacts/domain/contacts.service.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/contacts/outside/contacts.controller.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/contacts/outside/contacts.controller.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 84
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/contacts/outside/contacts.module.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/contacts/outside/dto/create-contact.dto.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/contacts/outside/dto/update-contact.dto.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/contacts/outside/sql.contacts.repository.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 115
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/logging/CustomLogger.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/logging/logger.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/main.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/prisma.service.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/domain/create-task/createTask.spec.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/domain/create-task/createTask.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/domain/delete-task/deleteTask.spec.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 46
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/domain/delete-task/deleteTask.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/domain/list-all-tasks/listAllTasks.spec.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/domain/list-all-tasks/listAllTasks.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/domain/model/task.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/domain/model/taskRepository.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/outside/createTaskDto.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/outside/sql.taskRepository.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 73
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/outside/tasks.controller.spec.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 60
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/outside/tasks.controller.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/tasks/outside/tasks.module.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/user/user.module.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/user/user.service.spec.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/paulbanfield/workspace/connect-crm/apps/backend/src/user/user.service.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 44
"/Users/paulbanfield/workspace/connect-crm/apps/backend/test/app.e2e-spec.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/paulbanfield/workspace/connect-crm/apps/backend/test/jest-e2e.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/paulbanfield/workspace/connect-crm/apps/backend/tsconfig.build.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/paulbanfield/workspace/connect-crm/apps/backend/tsconfig.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/.eslintrc.cjs", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 85
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 16, 39
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 378, 0, 0, 0, 0, 0, 3, 58, 439
"/Users/paulbanfield/workspace/connect-crm/apps/frontend/app/components/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
